1024	.002709	.001140
2048	.007194	.001621
3072	.117006	.010507
4096	.139696	.012323
5120	.369087	.028999
6144	.422284	.033055
7168	.760108	.056605
8192	.860883	.063901
9216	1.323789	.092022
10240	1.493655	.103945
11264	2.151130	.138478
12288	2.427389	.154923
13312	3.036702	.190855
14336	3.402183	.212974
15360	4.186799	.254059
16384	4.706581	.282895
