aaa 100	0.000010	0.000010
aaa 116	0.000014	0.000014
aaa 132	0.000017	0.000017
aaa 148	0.000022	0.000023
aaa 164	0.000038	0.000026
aaa 180	0.000036	0.000032
aaa 196	0.000049	0.000039
