1536	20.438898	4584674806	3318755	3.979693	4083971672	3630008
1568	22.804545	4877400868	3457767	4.116150	1183176150	3782114
1600	22.293997	5182035155	3599437	4.482922	1480854558	3937156
1632	26.959573	5499073990	3743905	4.698783	1333669439	4095265
1664	28.316356	5828548739	3891483	4.825106	2169139280	4256755
1696	35.395883	6171466657	4041836	5.120215	1496407380	4421301
1728	37.384431	6527228508	4195038	5.399327	1864597126	4588958
1760	43.171647	6896528166	4350823	5.708133	1671884855	4759472
1792	46.829337	7279261420	4509741	6.076971	3966777540	4933350
1824	55.794216	7676305340	4671443	6.442657	1860570727	5110303
